"order_dow","order_hour_of_day","total_orders"
0,0,"3692"
0,1,"2235"
0,2,"1299"
0,3,"888"
0,4,"750"
0,5,"1076"
0,6,"3138"
0,7,"11530"
0,8,"26223"
0,9,"37990"
0,10,"44999"
0,11,"47357"
0,12,"47729"
0,13,"49997"
0,14,"50484"
0,15,"50020"
0,16,"45930"
0,17,"36874"
0,18,"27347"
0,19,"20972"
0,20,"16984"
0,21,"13425"
0,22,"10440"
0,23,"6393"
1,0,"3475"
1,1,"1735"
1,2,"1063"
1,3,"711"
1,4,"761"
1,5,"1523"
1,6,"5101"
1,7,"15792"
1,8,"32563"
1,9,"49533"
1,10,"52999"
1,11,"49008"
1,12,"44550"
1,13,"44235"
1,14,"44220"
1,15,"43913"
1,16,"42200"
1,17,"34610"
1,18,"27293"
1,19,"20926"
1,20,"15422"
1,21,"11292"
1,22,"8458"
1,23,"5322"
2,0,"2906"
2,1,"1485"
2,2,"892"
2,3,"679"
2,4,"700"
2,5,"1330"
2,6,"4524"
2,7,"12550"
2,8,"23488"
2,9,"34499"
2,10,"37258"
2,11,"36186"
2,12,"33752"
2,13,"34646"
2,14,"35102"
2,15,"35408"
2,16,"35482"
2,17,"30216"
2,18,"24886"
2,19,"18922"
2,20,"14223"
2,21,"10071"
2,22,"7671"
2,23,"5079"
3,0,"2767"
3,1,"1407"
3,2,"889"
3,3,"605"
3,4,"666"
3,5,"1265"
3,6,"4314"
3,7,"11739"
3,8,"21305"
3,9,"30653"
3,10,"34016"
3,11,"33275"
3,12,"31580"
3,13,"32194"
3,14,"32863"
3,15,"33909"
3,16,"33284"
3,17,"28619"
3,18,"23536"
3,19,"18105"
3,20,"13064"
3,21,"9718"
3,22,"7732"
3,23,"4895"
4,0,"2476"
4,1,"1414"
4,2,"837"
4,3,"640"
4,4,"694"
4,5,"1251"
4,6,"4135"
4,7,"11823"
4,8,"20597"
4,9,"29645"
4,10,"33056"
4,11,"31849"
4,12,"30337"
4,13,"30778"
4,14,"31665"
4,15,"32095"
4,16,"32175"
4,17,"27577"
4,18,"22872"
4,19,"18194"
4,20,"13351"
4,21,"10169"
4,22,"8274"
4,23,"5308"
5,0,"2989"
5,1,"1539"
5,2,"953"
5,3,"796"
5,4,"857"
5,5,"1466"
5,6,"4573"
5,7,"12590"
5,8,"22623"
5,9,"32258"
5,10,"36205"
5,11,"35695"
5,12,"33501"
5,13,"34117"
5,14,"35131"
5,15,"35218"
5,16,"33700"
5,17,"28086"
5,18,"22700"
5,19,"17513"
5,20,"12557"
5,21,"8956"
5,22,"7006"
5,23,"4953"
6,0,"3067"
6,1,"1781"
6,2,"1137"
6,3,"801"
6,4,"747"
6,5,"1061"
6,6,"3007"
6,7,"10632"
6,8,"21522"
6,9,"28918"
6,10,"33352"
6,11,"34636"
6,12,"34757"
6,13,"35207"
6,14,"36091"
6,15,"35569"
6,16,"33178"
6,17,"28098"
6,18,"22364"
6,19,"16988"
6,20,"12508"
6,21,"9805"
6,22,"7959"
6,23,"5663"
